X(mm),Y(mm),I(pA)
2.0,-2.0,-0.9108024000000001
3.0,-2.0,0.213952
4.0,-2.0,0.01055372
5.0,-2.0,0.1729473
6.0,-2.0,0.13275450000000003
2.0,-1.0,-0.45631550000000004
3.0,-1.0,-0.647732
4.0,-1.0,-0.43581380000000003
5.0,-1.0,-0.3755269
6.0,-1.0,1.476573
2.0,0.0,-1.3397130000000002
3.0,0.0,0.06130071
4.0,0.0,0.4577476
5.0,0.0,0.50809
6.0,0.0,0.10961320000000001
2.0,1.0,-0.6221555
3.0,1.0,-0.8736561
4.0,1.0,-0.5391343
5.0,1.0,-0.5293907999999999
6.0,1.0,0.9682773
2.0,2.0,-1.1137890000000001
3.0,2.0,0.30245740000000004
4.0,2.0,0.4072021
5.0,2.0,0.5320433999999999
6.0,2.0,0.682665
