X(mm),Y(mm),I(pA)
-8.0,-8.0,-0.17741269999999998
-7.5,-8.0,-0.492449
-7.0,-8.0,-0.5139655
-6.5,-8.0,0.7691426
-6.0,-8.0,-0.1867501
-5.5,-8.0,0.02415373
-5.0,-8.0,-0.171323
-4.5,-8.0,0.2050209
-4.0,-8.0,0.11468829999999999
-3.5,-8.0,0.3747243
-3.0,-8.0,-0.1004804
-2.5,-8.0,0.23303410000000002
-2.0,-8.0,0.46728959999999997
-1.5,-8.0,0.014004369999999999
-1.0,-8.0,0.2486646
-0.5,-8.0,0.5968
0.0,-8.0,0.5020017
0.5,-8.0,0.23729689999999998
1.0,-8.0,0.4624178
1.5,-8.0,0.41836809999999997
2.0,-8.0,0.6278583000000001
2.5,-8.0,0.5036258
3.0,-8.0,0.5003777
3.5,-8.0,0.526767
4.0,-8.0,0.3570636
4.5,-8.0,0.6579013
5.0,-8.0,0.9498073
5.5,-8.0,0.6237984
6.0,-8.0,0.710883
6.5,-8.0,0.8860671999999999
7.0,-8.0,0.533466
7.5,-8.0,0.3996926
8.0,-8.0,0.3759422
-8.0,-7.5,-0.2212579
-7.5,-7.5,-0.1542721
-7.0,-7.5,-0.4500246
-6.5,-7.5,-0.5328433
-6.0,-7.5,-0.21212350000000002
-5.5,-7.5,-0.1749768
-5.0,-7.5,-0.006903332
-4.5,-7.5,2.2721150000000003
-4.0,-7.5,0.1573171
-3.5,-7.5,0.5133694999999999
-3.0,-7.5,0.30956310000000004
-2.5,-7.5,0.6512029
-2.0,-7.5,0.5127606
-1.5,-7.5,0.7957350000000001
-1.0,-7.5,0.1928412
-0.5,-7.5,0.40415860000000003
0.0,-7.5,0.611822
0.5,-7.5,0.6280615
1.0,-7.5,0.4898222
1.5,-7.5,0.7076351999999999
2.0,-7.5,0.5955824000000001
2.5,-7.5,0.6672395999999999
3.0,-7.5,0.4946941
3.5,-7.5,0.49083730000000003
4.0,-7.5,0.6944408
4.5,-7.5,0.9912192000000001
5.0,-7.5,0.7476253
5.5,-7.5,0.8288232
6.0,-7.5,0.5338723000000001
6.5,-7.5,0.7068234
7.0,-7.5,0.3048942
