X(mm),Y(mm),I(pA)
-5.0,-5.0,-1.064261
-4.0,-5.0,0.05541389
-3.0,-5.0,0.08139712
-2.0,-5.0,0.285203
-1.0,-5.0,0.1159061
0.0,-5.0,0.31281020000000004
1.0,-5.0,0.34549209999999997
2.0,-5.0,0.3726934
3.0,-5.0,0.379798
4.0,-5.0,0.4216146
5.0,-5.0,0.7060094
-5.0,-4.0,-0.5584177
-4.0,-4.0,-0.5754688
-3.0,-4.0,-0.7486167
-2.0,-4.0,-0.5986094
-1.0,-4.0,-0.6793982
0.0,-4.0,-0.8314351000000001
1.0,-4.0,-0.3081354
2.0,-4.0,-0.6680308
3.0,-4.0,-0.38933019999999996
4.0,-4.0,-0.19101210000000002
5.0,-4.0,1.025927
-5.0,-3.0,-1.358795
-4.0,-3.0,0.151633
-3.0,-3.0,0.2117192
-2.0,-3.0,0.5255478
-1.0,-3.0,0.31829100000000005
0.0,-3.0,0.19304369999999998
1.0,-3.0,0.5352914000000001
2.0,-3.0,0.5541699
3.0,-3.0,0.4240508
4.0,-3.0,0.5279837
5.0,-3.0,0.9146868
-5.0,-2.0,-0.47600539999999997
-4.0,-2.0,-0.8160084
-3.0,-2.0,-0.9323198000000001
-2.0,-2.0,-1.054924
-1.0,-2.0,-0.8535609
0.0,-2.0,-0.7082222
1.0,-2.0,-1.054517
2.0,-2.0,-0.49386830000000004
3.0,-2.0,-0.6605206
4.0,-2.0,-0.3513717
5.0,-2.0,1.9174769999999999
-5.0,-1.0,-1.074004
-4.0,-1.0,0.02455978
-3.0,-1.0,0.18248810000000001
-2.0,-1.0,0.6861160000000001
-1.0,-1.0,0.7271208
0.0,-1.0,0.8466842
1.0,-1.0,0.34183830000000004
2.0,-1.0,0.621767
3.0,-1.0,0.6940326
4.0,-1.0,0.756555
5.0,-1.0,0.6398333
-5.0,0.0,-0.7003057
-4.0,0.0,-0.8385395999999999
-3.0,0.0,-0.6966523
-2.0,0.0,-0.8135722999999999
-1.0,0.0,-0.9668273999999999
0.0,0.0,-1.1726560000000001
1.0,0.0,-1.1284049999999999
2.0,0.0,-0.6294635000000001
3.0,0.0,-0.8338711
4.0,0.0,-0.545427
5.0,0.0,1.103675
-5.0,1.0,-0.30468480000000003
-4.0,1.0,0.09296776000000001
-3.0,1.0,0.453485
-2.0,1.0,1.023898
-1.0,1.0,0.6223758
0.0,1.0,0.9650298999999999
1.0,1.0,0.5279838
2.0,1.0,0.5338707
3.0,1.0,0.25313
4.0,1.0,0.6662229000000001
5.0,1.0,0.587055
-5.0,2.0,-0.7368433999999999
-4.0,2.0,-0.7197927000000001
-3.0,2.0,-0.794898
-2.0,2.0,-1.105468
-1.0,2.0,-0.9855024
0.0,2.0,-0.8527492
1.0,2.0,-0.7922589
2.0,2.0,-0.732784
3.0,2.0,-0.8332623
4.0,2.0,-0.48067429999999994
5.0,2.0,0.7135201
-5.0,3.0,0.19284069999999998
-4.0,3.0,0.054195929999999996
-3.0,3.0,0.3714754
-2.0,3.0,0.5103232
-1.0,3.0,0.47134850000000006
0.0,3.0,0.9057555
1.0,3.0,0.7977626
2.0,3.0,0.480889
3.0,3.0,0.7514801
4.0,3.0,0.5645227
5.0,3.0,0.49956470000000003
-5.0,4.0,-0.8369156999999999
-4.0,4.0,-0.763841
-3.0,4.0,-0.6810224
-2.0,4.0,-0.9345523
-1.0,4.0,-0.9217641999999999
0.0,4.0,-1.126376
1.0,4.0,-0.9585052
2.0,4.0,-0.7122822
3.0,4.0,-0.6812252
4.0,4.0,-0.2584038
5.0,4.0,-0.8151963
-5.0,5.0,-0.9873289
-4.0,5.0,0.3911659
-3.0,5.0,0.2669336
-2.0,5.0,0.5013917
-1.0,5.0,0.7380823000000001
0.0,5.0,0.6144592
1.0,5.0,0.8324747
2.0,5.0,0.6538399
3.0,5.0,0.8994627000000001
4.0,5.0,0.4591688
5.0,5.0,0.5271717
