X(mm),Y(mm),I(pA)
-3.0,-3.0,11.99481
-2.0,-3.0,13.865450000000001
-1.0,-3.0,16.08991
0.0,-3.0,14.82361
1.0,-3.0,12.28307
2.0,-3.0,11.897780000000001
3.0,-3.0,12.84395
-3.0,-2.0,13.02341
-2.0,-2.0,15.678650000000001
-1.0,-2.0,19.99278
0.0,-2.0,21.2396
1.0,-2.0,16.929319999999997
2.0,-2.0,15.381039999999999
3.0,-2.0,16.14392
-3.0,-1.0,14.223949999999999
-2.0,-1.0,17.81907
-1.0,-1.0,23.103949999999998
0.0,-1.0,31.21599
1.0,-1.0,23.73507
2.0,-1.0,18.83102
3.0,-1.0,19.69762
-3.0,0.0,19.39637
-2.0,0.0,21.6797
-1.0,0.0,24.264499999999998
0.0,0.0,19.020419999999998
1.0,0.0,-0.6962656
2.0,0.0,-0.9741619999999999
3.0,0.0,-1.3750710000000002
-3.0,1.0,23.50912
-2.0,1.0,19.18667
-1.0,1.0,15.739529999999998
0.0,1.0,14.622639999999999
1.0,1.0,12.957840000000001
2.0,1.0,1.228952
3.0,1.0,-1.325947
-3.0,2.0,20.97143
-2.0,2.0,15.69752
-1.0,2.0,11.42905
0.0,2.0,8.371684
1.0,2.0,8.102708999999999
2.0,2.0,9.911229
3.0,2.0,3.5279179999999997
-3.0,3.0,17.76993
-2.0,3.0,11.11664
-1.0,3.0,7.717823
0.0,3.0,6.342504000000001
1.0,3.0,5.177083
2.0,3.0,4.294849
3.0,3.0,6.331541
