X(mm),Y(mm),I(pA)
0.0,-2.0,-0.2330302
1.0,-2.0,0.5267655
2.0,-2.0,0.5196605999999999
3.0,-2.0,0.7311803
4.0,-2.0,0.5017972
0.0,-1.0,-0.8042346
1.0,-1.0,-0.5913016
2.0,-1.0,-0.5484715
3.0,-1.0,-0.6846755
4.0,-1.0,-0.3856763
0.0,0.0,-1.0090480000000002
1.0,0.0,0.3081412
2.0,0.0,0.09195279
3.0,0.0,0.3028633
4.0,0.0,0.47561109999999995
0.0,1.0,-0.4827038
1.0,1.0,-0.7396848
2.0,1.0,-0.5304057999999999
3.0,1.0,-0.2425706
4.0,1.0,-0.7137025
0.0,2.0,-0.7256786
1.0,2.0,0.250491
2.0,2.0,0.4246596
3.0,2.0,0.216997
4.0,2.0,0.26652739999999997
