X(mm),Y(mm),I(pA)
-6.0,-6.0,-0.3247902
-4.5,-6.0,-0.13438360000000002
-3.0,-6.0,0.1916265
-1.5,-6.0,-0.24298450000000002
0.0,-6.0,-0.2090848
1.5,-6.0,-0.38446980000000003
3.0,-6.0,-0.559246
4.5,-6.0,0.43603739999999996
6.0,-6.0,-0.36011089999999996
-6.0,-4.5,-0.22512110000000002
-4.5,-4.5,-0.1209863
-3.0,-4.5,-0.22816609999999998
-1.5,-4.5,0.055210989999999995
0.0,-4.5,-0.04060141
1.5,-4.5,-0.6607422000000001
3.0,-4.5,0.3990918
4.5,-4.5,-0.7218428
6.0,-4.5,-0.5346841
-6.0,-3.0,-0.1938604
-4.5,-3.0,-0.029436849999999997
-3.0,-3.0,-0.102108
-1.5,-3.0,0.6370072
0.0,-3.0,0.12991470000000002
1.5,-3.0,-0.4411049
3.0,-3.0,-0.5752827
4.5,-3.0,-0.37269660000000004
6.0,-3.0,-0.4053783
-6.0,-1.5,-0.2186255
-4.5,-1.5,-0.0878986
-3.0,-1.5,0.0008089876
-1.5,-1.5,0.1209828
0.0,-1.5,0.8040757
1.5,-1.5,-0.1483902
3.0,-1.5,-0.6345563
4.5,-1.5,-0.4644489
6.0,-1.5,-0.7581785000000001
-6.0,0.0,-0.07998192
-4.5,0.0,0.01765732
-3.0,0.0,0.2592254
-1.5,0.0,0.4133018
0.0,0.0,1.864544
1.5,0.0,0.4971406
3.0,0.0,-0.1670656
4.5,0.0,-0.5294067
6.0,0.0,-0.4104532
-6.0,1.5,0.03247575
-4.5,1.5,-0.1102278
-3.0,1.5,0.322155
-1.5,1.5,0.46222459999999993
0.0,1.5,0.4303536
1.5,1.5,1.283966
3.0,1.5,0.16787559999999999
4.5,1.5,-0.3122049
6.0,1.5,-0.6335414
-6.0,3.0,-0.07308019
-4.5,3.0,0.7111018
-3.0,3.0,0.33981609999999995
-1.5,3.0,0.6104142
0.0,3.0,0.004665819999999999
1.5,3.0,-0.1441274
3.0,3.0,0.4429397
4.5,3.0,0.17051460000000002
6.0,3.0,-0.20644600000000002
-6.0,4.5,-0.08444768
-4.5,4.5,0.4522776
-3.0,4.5,0.639443
-1.5,4.5,0.4133017
0.0,4.5,0.1437187
1.5,4.5,-0.1526531
3.0,4.5,-0.3536152
4.5,4.5,-0.1707193
6.0,4.5,-0.128091
-6.0,6.0,-0.1329628
-4.5,6.0,0.3432671
-3.0,6.0,0.6857269
-1.5,6.0,0.7208456
0.0,6.0,0.13864369999999998
1.5,6.0,-0.178839
3.0,6.0,-0.285613
4.5,6.0,-0.4528784
6.0,6.0,-0.3970556
