X(mm),Y(mm),I(pA)
0.0,0.0,-0.2003516
0.5,0.0,-0.1193593
1.0,0.0,-0.1778199
1.5,0.0,-0.09723347
2.0,0.0,-0.10474409999999999
0.0,0.5,-0.2080651
0.5,0.5,-0.2513014
1.0,0.5,-0.262263
1.5,0.5,-0.23485949999999997
2.0,0.5,-0.24379089999999998
0.0,1.0,-0.21253080000000002
0.5,1.0,-0.2626689
1.0,1.0,-0.1725421
1.5,1.0,-0.1908111
2.0,1.0,-0.08241532
0.0,1.5,-0.09906033
0.5,1.5,-0.1014962
1.0,1.5,-0.1979156
1.5,1.5,-0.2504896
2.0,1.5,-0.2299878
0.0,2.0,-0.11448739999999999
0.5,2.0,-0.09033184
1.0,2.0,-0.1672645
1.5,2.0,-0.3933935
2.0,2.0,-0.3982653
