X(mm),Y(mm),I(pA)
2.0,-2.0,0.1047413
3.0,-2.0,0.48819629999999997
4.0,-2.0,0.4279072
5.0,-2.0,0.6177064
6.0,-2.0,0.5488914
2.0,-1.0,-0.6986808
3.0,-1.0,-0.8257504
4.0,-1.0,-0.4510374
5.0,-1.0,-0.6767582999999999
6.0,-1.0,-0.6808179999999999
2.0,0.0,-0.895375
3.0,0.0,0.2515058
4.0,0.0,0.3513786
5.0,0.0,0.1664514
6.0,0.0,0.21435790000000002
2.0,1.0,-0.6329132
3.0,1.0,-0.6720898999999999
4.0,1.0,-0.35746079999999997
5.0,1.0,-0.6006385
6.0,1.0,-0.545629
2.0,2.0,-0.9191243000000001
3.0,2.0,0.1305216
4.0,2.0,0.09195276
5.0,2.0,0.1638125
6.0,2.0,0.09337371
