X(mm),Y(mm),I(pA)
0.0,-2.0,-0.2910844
1.0,-2.0,0.6032942
2.0,-2.0,0.45754469999999997
3.0,-2.0,0.5872575
4.0,-2.0,0.3633555
0.0,-1.0,-0.1587371
1.0,-1.0,-0.2606364
2.0,-1.0,-0.115501
3.0,-1.0,-0.1524446
4.0,-1.0,-1.0861830000000001
0.0,0.0,-1.256083
1.0,0.0,0.1895928
2.0,0.0,0.5192547000000001
3.0,0.0,0.5714239
4.0,0.0,0.6532306
0.0,1.0,-0.7774402
1.0,1.0,-0.5233009000000001
2.0,1.0,-0.7386697
3.0,1.0,-0.3801956
4.0,1.0,-0.8570111
0.0,2.0,-1.257706
1.0,2.0,0.08586296
2.0,2.0,0.346101
3.0,2.0,0.3728962
4.0,2.0,0.2582047
