X(mm),Y(mm),I(pA)
-4.0,-4.0,-0.7959338
-3.0,-4.0,-0.6682518000000001
-2.0,-4.0,-0.3718837
-1.0,-4.0,-0.6095872999999999
0.0,-4.0,-0.8990534
1.0,-4.0,-0.9820770000000001
2.0,-4.0,-0.8188714
3.0,-4.0,-1.0165849999999998
4.0,-4.0,-0.6120231
-4.0,-3.0,-0.7159549999999999
-3.0,-3.0,-0.7056025
-2.0,-3.0,-0.761222
-1.0,-3.0,-0.6170982
0.0,-3.0,-0.7163607
1.0,-3.0,-0.9477716
2.0,-3.0,-1.056169
3.0,-3.0,-0.9662437
4.0,-3.0,-1.042162
-4.0,-2.0,-0.7695449
-3.0,-2.0,-0.6006558
-2.0,-2.0,-0.7736048
-1.0,-2.0,-0.6284655
0.0,-2.0,-0.7185941
1.0,-2.0,-0.8726648
2.0,-2.0,-0.8956028
3.0,-2.0,-0.8560196
4.0,-2.0,-0.7918736999999999
-4.0,-1.0,-0.7139252
-3.0,-1.0,-0.39401010000000003
-2.0,-1.0,-0.7415318999999999
-1.0,-1.0,-0.6329314
0.0,-1.0,-0.3911682
1.0,-1.0,-0.8156238
2.0,-1.0,-0.8909339
3.0,-1.0,-1.0823559999999999
4.0,-1.0,-1.038103
-4.0,0.0,-0.6844913
-3.0,0.0,-0.5608693
-2.0,0.0,-0.4086254
-1.0,0.0,-0.7395024
0.0,0.0,-0.3264137
1.0,0.0,-0.5543735
2.0,0.0,-0.7409233000000001
3.0,0.0,-1.0111050000000001
4.0,0.0,-1.062868
-4.0,1.0,-0.7220445999999999
-3.0,1.0,-0.7039787
-2.0,1.0,-0.6562754
-1.0,1.0,-0.6032948
0.0,1.0,-0.94087
1.0,1.0,-0.6769804
2.0,1.0,-0.5348864999999999
3.0,1.0,-1.001362
4.0,1.0,-0.8708378999999999
-4.0,2.0,-0.9090001
-3.0,2.0,-0.8454639
-2.0,2.0,-0.5395551
-1.0,2.0,-0.9581246
0.0,2.0,-0.6818527
1.0,2.0,-0.4187751
2.0,2.0,-0.7738079
3.0,2.0,-0.6883481
4.0,2.0,-0.82009
-4.0,3.0,-1.001159
-3.0,3.0,-0.8497263
-2.0,3.0,-0.3083475
-1.0,3.0,-0.7135192
0.0,3.0,-0.7153463
1.0,3.0,-0.7987755
2.0,3.0,-0.8759127
3.0,3.0,-0.7181881
4.0,3.0,-0.7512753
-4.0,4.0,-1.056169
-3.0,4.0,-0.6357731999999999
-2.0,4.0,-0.7764466000000001
-1.0,4.0,-0.8988507
0.0,4.0,-0.5769056
1.0,4.0,-0.8513506000000001
2.0,4.0,-0.5174287999999999
3.0,4.0,-0.6509974
4.0,4.0,-0.8887011
