X(mm),Y(mm),I(pA)
-2.0,-2.0,-0.19020030000000002
-1.0,-2.0,0.3670098
0.0,-2.0,0.5062635
1.0,-2.0,0.2580019
2.0,-2.0,0.5024068
-2.0,-1.0,-0.1906062
-1.0,-1.0,0.3322977
0.0,-1.0,0.2951498
1.0,-1.0,0.4254719
2.0,-1.0,0.7220463
-2.0,0.0,-0.1071786
-1.0,0.0,0.4116683
0.0,0.0,0.5198641
1.0,0.0,0.8367376
2.0,0.0,0.7612237
-2.0,1.0,-0.11712499999999999
-1.0,1.0,0.4616049
0.0,1.0,0.4039546
1.0,1.0,0.8789605
2.0,1.0,0.9585344000000001
-2.0,2.0,0.02313886
-1.0,2.0,0.2500851
0.0,2.0,0.7131144
1.0,2.0,0.8160326
2.0,2.0,0.45470299999999997
