X(mm),Y(mm),I(pA)
-3.0,-3.0,0.2669391
-2.0,-3.0,0.2204523
-1.0,-3.0,0.2129413
0.0,-3.0,0.09459282
1.0,-3.0,-0.2774931
2.0,-3.0,-0.3312858
3.0,-3.0,-0.35665990000000003
-3.0,-2.0,0.06373695
-2.0,-2.0,0.2498872
-1.0,-2.0,0.6363977
0.0,-2.0,0.4463903
1.0,-2.0,-0.1924392
2.0,-2.0,-0.40821969999999996
3.0,-2.0,-0.5466603
-3.0,-1.0,0.06190996000000001
-2.0,-1.0,0.2125353
-1.0,-1.0,0.6380218
0.0,-1.0,0.828841
1.0,-1.0,0.22877530000000001
2.0,-1.0,-0.3044909
3.0,-1.0,-0.3684333
-3.0,0.0,0.1384406
-2.0,0.0,0.3298688
-1.0,0.0,0.49653110000000006
0.0,0.0,1.3988619999999998
1.0,0.0,1.137805
2.0,0.0,-0.07105013
3.0,0.0,-0.324181
-3.0,1.0,0.3438756
-2.0,1.0,0.3757466
-1.0,1.0,0.6146766
0.0,1.0,0.5746857
1.0,1.0,1.262244
2.0,1.0,0.6303073
3.0,1.0,-0.0572467
-3.0,2.0,0.4821181
-2.0,2.0,0.6323374
-1.0,2.0,0.6617724
0.0,2.0,0.496531
1.0,2.0,0.3316959
2.0,2.0,0.6692834
3.0,2.0,0.2117233
-3.0,3.0,0.4705473
-2.0,3.0,0.5738736999999999
-1.0,3.0,0.33352279999999995
0.0,3.0,0.061503959999999996
1.0,3.0,-0.06983216
2.0,3.0,-0.11083649999999999
3.0,3.0,0.3538227
